GEOID,NAME,variable,estimate,moe,summary_est,summary_moe,pct,race
01001,"Autauga County, Alabama",B03002_003,41315,52,55380,,74.6,White
01001,"Autauga County, Alabama",B03002_004,10524,266,55380,,19,Black
01001,"Autauga County, Alabama",B03002_006,573,158,55380,,1.03,Asian
01001,"Autauga County, Alabama",B03002_007,5,9,55380,,0.01,American Indian
01001,"Autauga County, Alabama",B03002_012,1565,,55380,,2.83,Hispanic
01003,"Baldwin County, Alabama",B03002_003,176803,245,212830,,83.07,White
01003,"Baldwin County, Alabama",B03002_004,19525,373,212830,,9.17,Black
01003,"Baldwin County, Alabama",B03002_006,1955,273,212830,,0.92,Asian
01003,"Baldwin County, Alabama",B03002_007,9,15,212830,,0,American Indian
01003,"Baldwin County, Alabama",B03002_012,9711,,212830,,4.56,Hispanic
01005,"Barbour County, Alabama",B03002_003,11618,32,25361,,45.81,White
01005,"Barbour County, Alabama",B03002_004,12031,150,25361,,47.44,Black
01005,"Barbour County, Alabama",B03002_006,121,22,25361,,0.48,Asian
01005,"Barbour County, Alabama",B03002_007,1,3,25361,,0,American Indian
01005,"Barbour County, Alabama",B03002_012,1105,,25361,,4.36,Hispanic
01007,"Bibb County, Alabama",B03002_003,16763,22,22493,,74.53,White
01007,"Bibb County, Alabama",B03002_004,4981,108,22493,,22.14,Black
01007,"Bibb County, Alabama",B03002_006,27,45,22493,,0.12,Asian
01007,"Bibb County, Alabama",B03002_007,0,22,22493,,0,American Indian
01007,"Bibb County, Alabama",B03002_012,579,,22493,,2.57,Hispanic
01009,"Blount County, Alabama",B03002_003,50121,261,57681,,86.89,White
01009,"Blount County, Alabama",B03002_004,881,149,57681,,1.53,Black
01009,"Blount County, Alabama",B03002_006,212,25,57681,,0.37,Asian
01009,"Blount County, Alabama",B03002_007,25,40,57681,,0.04,American Indian
01009,"Blount County, Alabama",B03002_012,5342,,57681,,9.26,Hispanic
01011,"Bullock County, Alabama",B03002_003,2191,19,10248,,21.38,White
01011,"Bullock County, Alabama",B03002_004,7666,328,10248,,74.8,Black
01011,"Bullock County, Alabama",B03002_006,50,66,10248,,0.49,Asian
01011,"Bullock County, Alabama",B03002_007,0,19,10248,,0,American Indian
