GEOID,majority
01001,White
01003,White
01005,Non-White
01007,White
01009,White
01011,Non-White
01013,White
01015,White
01017,White
01019,White
01021,White
01023,White
01025,White
01027,White
01029,White
01031,White
01033,White
01035,White
01037,White
01039,White
01041,White
01043,White
01045,White
01047,Non-White
01049,White
01051,White
01053,White
01055,White
01057,White
01059,White
01061,White
01063,Non-White
01065,Non-White
01067,White
01069,White
01071,White
01073,Non-White
01075,White
01077,White
01079,White
01081,White
01083,White
01085,Non-White
01087,Non-White
01089,White
01091,Non-White
01093,White
01095,White
01097,White
01099,White
01101,Non-White
01103,White
01105,Non-White
01107,White
01109,White
01111,White
01113,Non-White
01115,White
01117,White
01119,Non-White
01121,White
01123,White
01125,White
01127,White
01129,White
01131,Non-White
01133,White
02013,Non-White
02016,Non-White
02020,White
02050,Non-White
02060,White
02068,White
02070,Non-White
02090,White
02100,White
02105,Non-White
02110,White
02122,White
02130,White
02150,Non-White
02158,Non-White
02164,Non-White
02170,White
02180,Non-White
02185,Non-White
02188,Non-White
02195,White
02198,Non-White
02220,White
02230,White
02240,White
02261,White
02275,White
02282,Non-White
02290,Non-White
04001,Non-White
04003,White
04005,White
04007,White
04009,White
04011,Non-White
04012,White
04013,White
04015,White
04017,Non-White
04019,White
04021,White
04023,Non-White
04025,White
04027,Non-White
05001,White
05003,White
05005,White
05007,White
05009,White
05011,White
05013,White
05015,White
05017,Non-White
05019,White
05021,White
05023,White
05025,White
05027,White
05029,White
05031,White
05033,White
05035,Non-White
05037,White
05039,White
05041,Non-White
05043,White
05045,White
05047,White
05049,White
05051,White
05053,White
05055,White
05057,White
05059,White
05061,White
05063,White
05065,White
05067,White
05069,Non-White
05071,White
05073,White
05075,White
05077,Non-White
05079,White
05081,White
05083,White
05085,White
05087,White
05089,White
05091,White
05093,White
05095,White
05097,White
05099,White
05101,White
05103,White
05105,White
05107,Non-White
05109,White
05111,White
05113,White
05115,White
05117,White
05119,White
05121,White
05123,Non-White
05125,White
05127,White
05129,White
05131,White
05133,White
05135,White
05137,White
05139,White
05141,White
05143,White
05145,White
05147,White
05149,White
06001,Non-White
06003,White
06005,White
06007,White
06009,White
06011,Non-White
06013,Non-White
06015,White
06017,White
06019,Non-White
06021,White
06023,White
06025,Non-White
06027,White
06029,Non-White
06031,Non-White
06033,White
06035,White
06037,Non-White
06039,Non-White
06041,White
06043,White
06045,White
06047,Non-White
06049,White
06051,White
06053,Non-White
06055,White
06057,White
06059,Non-White
06061,White
06063,White
06065,Non-White
06067,Non-White
06069,Non-White
06071,Non-White
06073,Non-White
06075,Non-White
06077,Non-White
06079,White
06081,Non-White
06083,Non-White
06085,Non-White
06087,White
06089,White
06091,White
06093,White
06095,Non-White
06097,White
06099,Non-White
06101,Non-White
06103,White
06105,White
