GEOID,plurality,majority,white,black,asian,american_indian,hispanic,urban_rural_code,urban_rural_cat,poverty_estimate,population,pctpov,poverty_quantile
01001,White,White,74.6,19,1.03,0.01,2.83,3,suburban,8422,54765,15.378435131927326,3
01003,White,White,83.07,9.17,0.92,0,4.56,4,suburban,21653,204929,10.56609850240815,1
01005,Black,Non-White,45.81,47.44,0.48,0,4.36,6,rural,6597,22856,28.863318165908296,4
01007,White,White,74.53,22.14,0.12,0,2.57,2,urban,2863,20468,13.987688098495212,2
01009,White,White,86.89,1.53,0.37,0.04,9.26,2,urban,8220,57082,14.400336358221505,2
01011,Black,Non-White,21.38,74.8,0.49,0,2.56,6,rural,3110,9909,31.38560904228479,4
01013,White,White,51.6,45.03,0.35,0,1.4,6,rural,4640,19707,23.544933272441266,4
01015,White,White,72.07,20.66,0.88,0.01,3.8,4,suburban,20819,111981,18.591546780257364,3
01017,White,White,55.55,39.56,1.12,0,2.38,5,rural,5531,33274,16.622588207008477,3
01019,White,White,91.72,4.6,0.25,0,1.59,6,rural,3827,25501,15.007254617465982,3
01021,White,White,80.13,9.17,0.44,0,7.85,2,urban,8034,43260,18.571428571428573,3
01023,White,White,56.38,42.55,0.13,0,0.41,6,rural,2864,12875,22.244660194174756,4
01025,White,White,52.72,45.77,0.43,0,0.33,6,rural,6088,23963,25.405833994074197,4
01027,White,White,80.36,15.51,0.16,0,3.14,6,rural,2405,13040,18.44325153374233,3
01029,White,White,92.69,2.75,0.02,0,2.46,6,rural,2719,14659,18.548332082679583,3
01031,White,White,70.15,16.8,1.44,0,7.28,5,rural,7604,50502,15.056829432497723,3
01033,White,White,78.2,16.08,0.47,0.09,2.84,4,suburban,8785,53991,16.271230390250228,3
01035,White,White,50.05,47.76,0.45,0,0.68,6,rural,2752,12381,22.22760681689686,4
01037,White,White,64.8,33.61,0,0,1.01,5,rural,1459,10452,13.959050899349407,2
01039,White,White,83.29,13.39,0.38,0.09,1.69,6,rural,6702,36586,18.31848247963702,3
01041,White,White,70.98,23.13,1.26,0.07,0.79,6,rural,2148,13661,15.723592709172095,3
01043,White,White,91.88,1.25,0.38,0,4.36,5,rural,12831,81016,15.837612323491657,3
01045,White,White,68.57,19.78,1.22,0.01,6.51,5,rural,8798,47854,18.38508797592678,3
01047,Black,Non-White,27.32,70.43,0.57,0.01,1.07,5,rural,12247,39394,31.088490633091332,4
01049,White,White,80.44,1.43,0.12,0.21,14.55,6,rural,15500,70215,22.075055187637968,4
01051,White,White,73.16,21.23,0.54,0,2.96,3,suburban,9462,76683,12.33911036344431,2
01053,White,White,60.23,31.98,0.28,0.15,2.33,6,rural,8268,34383,24.046767297792513,4
01055,White,White,77.86,15.44,0.74,0.02,3.88,4,suburban,17524,101536,17.2589032461393,3
01057,White,White,84.5,11.17,0.47,0.04,1.8,6,rural,3258,16251,20.04799704633561,4
01059,White,White,76.85,4.29,0.37,0,17.16,6,rural,6299,31129,20.235150502746635,4
01061,White,White,83.85,9.41,0.44,0.05,3.98,4,suburban,6282,26177,23.998166329220307,4
01063,Black,Non-White,17.24,79.46,0,0,1.74,6,rural,3225,8344,38.65052732502397,4
01065,Black,Non-White,39.53,59.37,0.22,0,0.03,4,suburban,3809,14648,26.003549972692518,4
01067,White,White,69.17,26.55,0.4,0.1,2.62,4,suburban,2270,16770,13.536076326774001,2
01069,White,White,66.46,26.76,0.87,0.04,3.32,4,suburban,18913,103287,18.31111369291392,3
01071,White,White,89.25,3.42,0.45,0.11,2.93,5,rural,10418,51548,20.210289438969504,4
01073,White,Non-White,49.89,42.8,1.57,0.03,3.87,1,urban,109707,645154,17.00477715398184,3
01075,White,White,85.99,10.65,0.12,0,1.65,6,rural,2916,13747,21.21190077835164,4
01077,White,White,84.72,10.14,0.64,0.07,2.68,4,suburban,13703,90283,15.17782971323505,3
01079,White,White,76.49,10.58,0.2,0.08,2.19,4,suburban,5508,32879,16.752334316737127,3
01081,White,White,67.44,22.73,4.11,0,3.68,4,suburban,32815,153342,21.39987739823401,4
01083,White,White,76.54,13.6,1.37,0.06,6.02,3,suburban,12384,90098,13.74503318608626,2
01085,Black,Non-White,24.66,74.36,0,0,0.5,3,suburban,2820,10099,27.923556787800774,4
01087,Black,Non-White,15.85,82.54,0.17,0,0.81,6,rural,4302,16688,25.779002876318312,4
01089,White,White,64.68,24.05,2.62,0.08,4.95,3,suburban,45960,348232,13.198097819844243,2
01091,Black,Non-White,44.88,53.56,0,0,1.01,6,rural,4201,19249,21.824510364174763,4
01093,White,White,91.85,3.43,0.18,0,2.6,6,rural,5144,29463,17.459186097817604,3
01095,White,White,80.75,2.67,0.6,0.05,13.97,5,rural,20354,93847,21.688492972604344,4
01097,White,White,56.89,35.54,1.89,0.01,2.9,3,suburban,78208,405635,19.280387540522884,3
01099,White,White,54.27,42.36,0.27,0.03,0.38,6,rural,6561,21226,30.910204466220677,4
01101,Black,Non-White,33.9,57.79,2.8,0.02,3.52,3,suburban,45479,219767,20.694189755513793,4
01103,White,White,75.63,12.69,0.64,0.06,8.36,4,suburban,17920,117109,15.301983622095655,3
01105,Black,Non-White,29.34,69.31,0.09,0,1.18,6,rural,3616,8661,41.750375245352735,4
01107,White,White,53.65,39.84,0.06,0.06,4.87,4,suburban,4430,18862,23.486374721662603,4
01109,White,White,56.02,36.58,2.2,0.01,2.25,5,rural,8374,31488,26.5942581300813,4
01111,White,White,75.29,19.67,0.21,0,2.95,6,rural,3912,22073,17.723010012232137,3
