GEOID,plurality,majority,white,black,asian,american_indian,hispanic,urban_rural_code,urban_rural_cat
01001,White,White,74.6,19,1.03,0.01,2.83,3,suburban
01003,White,White,83.07,9.17,0.92,0,4.56,4,suburban
01005,Black,Non-White,45.81,47.44,0.48,0,4.36,6,rural
01007,White,White,74.53,22.14,0.12,0,2.57,2,urban
01009,White,White,86.89,1.53,0.37,0.04,9.26,2,urban
01011,Black,Non-White,21.38,74.8,0.49,0,2.56,6,rural
01013,White,White,51.6,45.03,0.35,0,1.4,6,rural
01015,White,White,72.07,20.66,0.88,0.01,3.8,4,suburban
01017,White,White,55.55,39.56,1.12,0,2.38,5,rural
01019,White,White,91.72,4.6,0.25,0,1.59,6,rural
01021,White,White,80.13,9.17,0.44,0,7.85,2,urban
01023,White,White,56.38,42.55,0.13,0,0.41,6,rural
01025,White,White,52.72,45.77,0.43,0,0.33,6,rural
01027,White,White,80.36,15.51,0.16,0,3.14,6,rural
01029,White,White,92.69,2.75,0.02,0,2.46,6,rural
01031,White,White,70.15,16.8,1.44,0,7.28,5,rural
01033,White,White,78.2,16.08,0.47,0.09,2.84,4,suburban
01035,White,White,50.05,47.76,0.45,0,0.68,6,rural
01037,White,White,64.8,33.61,0,0,1.01,5,rural
01039,White,White,83.29,13.39,0.38,0.09,1.69,6,rural
01041,White,White,70.98,23.13,1.26,0.07,0.79,6,rural
01043,White,White,91.88,1.25,0.38,0,4.36,5,rural
01045,White,White,68.57,19.78,1.22,0.01,6.51,5,rural
01047,Black,Non-White,27.32,70.43,0.57,0.01,1.07,5,rural
01049,White,White,80.44,1.43,0.12,0.21,14.55,6,rural
01051,White,White,73.16,21.23,0.54,0,2.96,3,suburban
01053,White,White,60.23,31.98,0.28,0.15,2.33,6,rural
01055,White,White,77.86,15.44,0.74,0.02,3.88,4,suburban
01057,White,White,84.5,11.17,0.47,0.04,1.8,6,rural
01059,White,White,76.85,4.29,0.37,0,17.16,6,rural
01061,White,White,83.85,9.41,0.44,0.05,3.98,4,suburban
01063,Black,Non-White,17.24,79.46,0,0,1.74,6,rural
01065,Black,Non-White,39.53,59.37,0.22,0,0.03,4,suburban
01067,White,White,69.17,26.55,0.4,0.1,2.62,4,suburban
01069,White,White,66.46,26.76,0.87,0.04,3.32,4,suburban
01071,White,White,89.25,3.42,0.45,0.11,2.93,5,rural
01073,White,Non-White,49.89,42.8,1.57,0.03,3.87,1,urban
01075,White,White,85.99,10.65,0.12,0,1.65,6,rural
01077,White,White,84.72,10.14,0.64,0.07,2.68,4,suburban
01079,White,White,76.49,10.58,0.2,0.08,2.19,4,suburban
01081,White,White,67.44,22.73,4.11,0,3.68,4,suburban
01083,White,White,76.54,13.6,1.37,0.06,6.02,3,suburban
01085,Black,Non-White,24.66,74.36,0,0,0.5,3,suburban
01087,Black,Non-White,15.85,82.54,0.17,0,0.81,6,rural
01089,White,White,64.68,24.05,2.62,0.08,4.95,3,suburban
01091,Black,Non-White,44.88,53.56,0,0,1.01,6,rural
01093,White,White,91.85,3.43,0.18,0,2.6,6,rural
01095,White,White,80.75,2.67,0.6,0.05,13.97,5,rural
01097,White,White,56.89,35.54,1.89,0.01,2.9,3,suburban
01099,White,White,54.27,42.36,0.27,0.03,0.38,6,rural
01101,Black,Non-White,33.9,57.79,2.8,0.02,3.52,3,suburban
01103,White,White,75.63,12.69,0.64,0.06,8.36,4,suburban
01105,Black,Non-White,29.34,69.31,0.09,0,1.18,6,rural
01107,White,White,53.65,39.84,0.06,0.06,4.87,4,suburban
01109,White,White,56.02,36.58,2.2,0.01,2.25,5,rural
01111,White,White,75.29,19.67,0.21,0,2.95,6,rural
01113,White,Non-White,46.07,43.41,0.87,0.04,5.49,3,suburban
01115,White,White,85.87,9.57,0.8,0.01,2.42,2,urban
01117,White,White,77.87,12.02,2.06,0.02,5.72,2,urban
01119,Black,Non-White,24.81,71.92,2.14,0,0.53,6,rural
01121,White,White,62.63,32.37,0.61,0.03,2.29,5,rural
01123,White,White,68.87,26.97,0.36,0,2.42,6,rural
01125,White,White,61.55,31.89,1.61,0.04,3.72,4,suburban
01127,White,White,88.95,6.17,0.49,0,2.49,2,urban
01129,White,White,64.95,23.54,0.25,0,1.46,6,rural
01131,Black,Non-White,26.84,69.38,0.03,0,0.53,6,rural
01133,White,White,93.7,0.73,0.16,0.05,3.15,6,rural
02013,Asian,Non-White,13.21,3.22,19.68,1,9.01,6,rural
02016,Asian,Non-White,23.83,3.35,39.63,2.65,14.06,6,rural
02020,White,White,57.9,5.28,9.43,2.41,9.17,3,suburban
02050,White,Non-White,9.73,0.74,1.08,0.22,2.6,6,rural
02060,White,White,50.86,0.57,0.23,0.23,3.66,6,rural
02068,White,White,84.24,1.16,2.58,0,0.31,6,rural
02070,White,Non-White,15.4,1.59,1.35,0.06,3.71,6,rural
02090,White,White,69.93,4.28,3.09,0.51,8.05,4,suburban
02100,White,White,77.52,0,1.31,0.16,4.49,6,rural
02105,White,Non-White,43.81,3.04,1.59,0,6.83,6,rural
02110,White,White,64.68,0.98,6.45,0.99,6.78,5,rural
02122,White,White,79.92,0.54,1.57,0.33,4.15,6,rural
02130,White,White,63.96,0.75,7.98,0.2,5.27,5,rural
02150,White,Non-White,49.03,0.21,22.69,0.33,8.91,6,rural
02158,White,Non-White,3.58,0.1,0.13,0.06,1.13,6,rural
02164,White,Non-White,20.96,1.15,1.65,0.36,0.14,6,rural
02170,White,White,79.22,1.15,1.37,0.22,4.93,3,suburban
02180,White,Non-White,14.66,0.83,1.53,0.14,2.74,6,rural
02185,White,Non-White,30.91,1.44,5.38,1.86,2.03,6,rural
02188,White,Non-White,10.77,1.08,1,0.1,1.45,6,rural
02195,White,White,65.49,1.01,4.57,0.58,11.7,6,rural
02198,White,Non-White,45.26,0.45,1.42,0.62,3.86,6,rural
02220,White,White,61.57,0.71,6.66,0.09,6.76,6,rural
02230,White,White,82.11,3.34,0.81,0,5.69,6,rural
02240,White,White,73.66,0.32,2.66,0.06,6.06,6,rural
02261,White,White,69.31,0.38,4.07,0.63,5.24,6,rural
02275,White,White,61.87,0.04,0.72,0.36,5.04,6,rural
02282,White,Non-White,43.3,0.77,4.93,1.23,7.7,6,rural
02290,White,Non-White,21.55,0.07,0.71,0.04,2.66,6,rural
04001,White,Non-White,18.21,0.52,0.34,0.02,6.34,6,rural
04003,White,White,54.99,3.67,1.93,0.33,35.45,4,suburban
04005,White,White,54.05,1.12,1.87,0.17,14.11,4,suburban
04007,White,White,62.25,0.65,0.79,0,18.75,5,rural
04009,White,White,50.86,1.82,0.63,0.12,33.01,5,rural
04011,Hispanic,Non-White,46.62,2.05,0.55,0,46.8,6,rural
04012,White,White,57.4,0.88,0.73,0.05,27.58,6,rural
04013,White,White,55.24,5.31,4.09,0.2,30.99,1,urban
04015,White,White,77.29,1,1.07,0.2,16.45,4,suburban
04017,White,Non-White,41.28,0.74,0.59,0.13,11.42,5,rural
04019,White,White,51.73,3.26,2.79,0.14,37.25,3,suburban
04021,White,White,56.79,4.08,1.58,0.29,30.16,2,urban
04023,Hispanic,Non-White,14.85,0.24,0.83,0,83.46,5,rural
04025,White,White,80.46,0.62,0.92,0.06,14.54,4,suburban
