GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AG3001
"G0100010","1860","Alabama","010","Autauga","0010","Autauga",16739
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin",7530
"G0100050","1860","Alabama","010","Barbour","0050","Barbour",30812
"G0100070","1860","Alabama","010","Bibb","0070","Bibb",11894
"G0100090","1860","Alabama","010","Blount","0090","Blount",10865
"G0100130","1860","Alabama","010","Butler","0130","Butler",18122
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun",21539
"G0100170","1860","Alabama","010","Chambers","0170","Chambers",23214
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee",18360
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw",13877
"G0100250","1860","Alabama","010","Clarke","0250","Clarke",15049
"G0100310","1860","Alabama","010","Coffee","0310","Coffee",9623
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh",11311
"G0100370","1860","Alabama","010","Coosa","0370","Coosa",19273
"G0100390","1860","Alabama","010","Covington","0390","Covington",6469
"G0100450","1860","Alabama","010","Dale","0450","Dale",12197
"G0100470","1860","Alabama","010","Dallas","0470","Dallas",33625
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb",10705
"G0100570","1860","Alabama","010","Fayette","0570","Fayette",12850
"G0100590","1860","Alabama","010","Franklin","0590","Franklin",18627
"G0100630","1860","Alabama","010","Greene","0630","Greene",30859
"G0100670","1860","Alabama","010","Henry","0670","Henry",14918
"G0100710","1860","Alabama","010","Jackson","0710","Jackson",18283
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson",11746
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale",17420
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence",13975
"G0100830","1860","Alabama","010","Limestone","0830","Limestone",15306
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes",27716
"G0100870","1860","Alabama","010","Macon","0870","Macon",26802
"G0100890","1860","Alabama","010","Madison","0890","Madison",26451
"G0100910","1860","Alabama","010","Marengo","0910","Marengo",31171
"G0100930","1860","Alabama","010","Marion","0930","Marion",11182
"G0100950","1860","Alabama","010","Marshall","0950","Marshall",11472
"G0100970","1860","Alabama","010","Mobile","0970","Mobile",41131
"G0100990","1860","Alabama","010","Monroe","0990","Monroe",15667
"G0101010","1860","Alabama","010","Montgomery","1010","Montgomery",35904
"G0101030","1860","Alabama","010","Morgan","1030","Morgan",11335
"G0101050","1860","Alabama","010","Perry","1050","Perry",27724
"G0101070","1860","Alabama","010","Pickens","1070","Pickens",22316
"G0101090","1860","Alabama","010","Pike","1090","Pike",24435
"G0101110","1860","Alabama","010","Randolph","1110","Randolph",20059
"G0101130","1860","Alabama","010","Russell","1130","Russell",26592
"G0101150","1860","Alabama","010","St Clair","1150","St Clair",11013
"G0101170","1860","Alabama","010","Shelby","1170","Shelby",12618
"G0101190","1860","Alabama","010","Sumter","1190","Sumter",24035
"G0101210","1860","Alabama","010","Talladega","1210","Talladega",23520
"G0101230","1860","Alabama","010","Tallapoosa","1230","Tallapoosa",23827
"G0101250","1860","Alabama","010","Tuscaloosa","1250","Tuscaloosa",23200
"G0101270","1860","Alabama","010","Walker","1270","Walker",7980
"G0101290","1860","Alabama","010","Washington","1290","Washington",4669
"G0101310","1860","Alabama","010","Wilcox","1310","Wilcox",24618
"G0101330","1860","Alabama","010","Winston","1330","Winston",3576
"G0500010","1860","Arkansas","050","Arkansas","0010","Arkansas",8844
"G0500030","1860","Arkansas","050","Ashley","0030","Ashley",8590
"G0500070","1860","Arkansas","050","Benton","0070","Benton",9306
"G0500110","1860","Arkansas","050","Bradley","0110","Bradley",8388
"G0500130","1860","Arkansas","050","Calhoun","0130","Calhoun",4103
"G0500150","1860","Arkansas","050","Carroll","0150","Carroll",9383
"G0500170","1860","Arkansas","050","Chicot","0170","Chicot",9234
"G0500190","1860","Arkansas","050","Clark","0190","Clark",9735
"G0500270","1860","Arkansas","050","Columbia","0270","Columbia",12449
"G0500290","1860","Arkansas","050","Conway","0290","Conway",6697
"G0500310","1860","Arkansas","050","Craighead","0310","Craighead",3066
"G0500330","1860","Arkansas","050","Crawford","0330","Crawford",7850
"G0500350","1860","Arkansas","050","Crittenden","0350","Crittenden",4920
"G0500390","1860","Arkansas","050","Dallas","0390","Dallas",8283
"G0500410","1860","Arkansas","050","Desha","0410","Desha",6459
"G0500430","1860","Arkansas","050","Drew","0430","Drew",9078
"G0500470","1860","Arkansas","050","Franklin","0470","Franklin",7298
"G0500490","1860","Arkansas","050","Fulton","0490","Fulton",4024
"G0500550","1860","Arkansas","050","Greene","0550","Greene",5843
"G0500570","1860","Arkansas","050","Hempstead","0570","Hempstead",13989
"G0500590","1860","Arkansas","050","Hot Spring","0590","Hot Spring",5635
"G0500630","1860","Arkansas","050","Independence","0630","Independence",14307
"G0500650","1860","Arkansas","050","Izard","0650","Izard",7215
"G0500670","1860","Arkansas","050","Jackson","0670","Jackson",10493
"G0500690","1860","Arkansas","050","Jefferson","0690","Jefferson",14971
"G0500710","1860","Arkansas","050","Johnson","0710","Johnson",7612
"G0500730","1860","Arkansas","050","Lafayette","0730","Lafayette",8464
"G0500750","1860","Arkansas","050","Lawrence","0750","Lawrence",9372
"G0500870","1860","Arkansas","050","Madison","0870","Madison",7740
"G0500890","1860","Arkansas","050","Marion","0890","Marion",6192
"G0500930","1860","Arkansas","050","Mississippi","0930","Mississippi",3895
