state,county,total_Eligible,"total_Ineligible, Ownership Not Verified",total_Other,percent_Eligible,"percent_Ineligible, Ownership Not Verified",percent_Other,state_name,county_name,GEOID,NAME,poverty_estimate,poverty_population,pctpov
AK,Anchorage (Borough),1060,110,6463,13.9,1.4,84.7,Alaska,Anchorage Municipality,02020,"Anchorage Municipality, Alaska",25861,286504,9.026401027559825
AK,Bethel (Census Area),,,2,,,100,Alaska,Bethel Census Area,02050,"Bethel Census Area, Alaska",4980,17622,28.26012938372489
AK,Fairbanks North Star (Borough),,,8,,,100,Alaska,Fairbanks North Star Borough,02090,"Fairbanks North Star Borough, Alaska",7575,94778,7.992361096456984
AK,Juneau (Borough),,,1,,,100,Alaska,Juneau City and Borough,02110,"Juneau City and Borough, Alaska",2440,31783,7.677060063555989
AK,Kenai Peninsula (Borough),34,4,156,17.5,2.1,80.4,Alaska,Kenai Peninsula Borough,02122,"Kenai Peninsula Borough, Alaska",6913,57233,12.078695857285132
AK,Ketchikan Gateway (Borough),,,1,,,100,Alaska,Ketchikan Gateway Borough,02130,"Ketchikan Gateway Borough, Alaska",1304,13617,9.576264962914005
AK,Kodiak Island (Borough),,,2,,,100,Alaska,Kodiak Island Borough,02150,"Kodiak Island Borough, Alaska",1029,13195,7.79840848806366
AK,Kusilvak Census Area,,,1,,,100,Alaska,Kusilvak Census Area,02158,"Kusilvak Census Area, Alaska",3195,8190,39.010989010989015
AK,Matanuska-Susitna (Borough),450,57,2157,16.9,2.1,81,Alaska,Matanuska-Susitna Borough,02170,"Matanuska-Susitna Borough, Alaska",10624,103218,10.292778391365848
AK,Skagway (Municipality),,,1,,,100,Alaska,Skagway Municipality,02230,"Skagway Municipality, Alaska",70,1098,6.375227686703097
AL,Autauga (County),,,35,,,100,Alabama,Autauga,01001,"Autauga County, Alabama",8340,54922,15.1851716980445
AL,Baldwin (County),3673,1529,23576,12.8,5.3,81.9,Alabama,Baldwin,01003,"Baldwin County, Alabama",21704,209618,10.354072646433035
AL,Barbour (County),,,19,,,100,Alabama,Barbour,01005,"Barbour County, Alabama",6875,22417,30.66868894142838
AL,Bibb (County),23,25,81,17.8,19.4,62.8,Alabama,Bibb,01007,"Bibb County, Alabama",3740,20632,18.127181077937184
AL,Blount (County),,,8,,,100,Alabama,Blount,01009,"Blount County, Alabama",7739,57108,13.551516425019262
AL,Bullock (County),,,4,,,100,Alabama,Bullock,01011,"Bullock County, Alabama",2825,9784,28.873671300081767
AL,Butler (County),,,15,,,100,Alabama,Butler,01013,"Butler County, Alabama",4397,19540,22.502558853633573
AL,Calhoun (County),191,29,735,20,3,77,Alabama,Calhoun,01015,"Calhoun County, Alabama",19969,111542,17.90267343242904
AL,Chambers (County),,,10,,,100,Alabama,Chambers,01017,"Chambers County, Alabama",5711,33103,17.252212790381535
AL,Cherokee (County),,,9,,,100,Alabama,Cherokee,01019,"Cherokee County, Alabama",3560,25571,13.922021039458762
AL,Chilton (County),,,14,,,100,Alabama,Chilton,01021,"Chilton County, Alabama",8302,43430,19.115818558600044
AL,Choctaw (County),,,6,,,100,Alabama,Choctaw,01023,"Choctaw County, Alabama",2968,12712,23.348017621145374
AL,Clarke (County),619,417,1151,28.3,19.1,52.6,Alabama,Clarke,01025,"Clarke County, Alabama",5484,23628,23.209751142712037
AL,Clay (County),,,17,,,100,Alabama,Clay,01027,"Clay County, Alabama",2342,13049,17.947735458655835
AL,Cleburne (County),,,4,,,100,Alabama,Cleburne,01029,"Cleburne County, Alabama",2531,14644,17.283529090412454
AL,Coffee (County),,,34,,,100,Alabama,Coffee,01031,"Coffee County, Alabama",7670,50898,15.069354395064638
AL,Colbert (County),,,75,,,100,Alabama,Colbert,01033,"Colbert County, Alabama",8390,54248,15.466007963427222
AL,Conecuh (County),,,9,,,100,Alabama,Conecuh,01035,"Conecuh County, Alabama",2161,12283,17.59342180249125
AL,Coosa (County),,,8,,,100,Alabama,Coosa,01037,"Coosa County, Alabama",1399,10353,13.512991403457935
AL,Covington (County),,,34,,,100,Alabama,Covington,01039,"Covington County, Alabama",6756,36348,18.586992406734897
AL,Crenshaw (County),,,10,,,100,Alabama,Crenshaw,01041,"Crenshaw County, Alabama",2065,13623,15.158188357924098
AL,Cullman (County),26,28,590,4,4.3,91.6,Alabama,Cullman,01043,"Cullman County, Alabama",12133,81597,14.869419218843829
AL,Dale (County),,,18,,,100,Alabama,Dale,01045,"Dale County, Alabama",8424,47739,17.645949852322
AL,Dallas (County),461,319,1419,21,14.5,64.5,Alabama,Dallas,01047,"Dallas County, Alabama",11204,38546,29.066569812691327
AL,DeKalb (County),,,26,,,100,Alabama,DeKalb,01049,"DeKalb County, Alabama",14833,70355,21.083078672446874
AL,Elmore (County),,,18,,,100,Alabama,Elmore,01051,"Elmore County, Alabama",8820,76637,11.508801231780993
AL,Escambia (County),667,291,1780,24.4,10.6,65,Alabama,Escambia,01053,"Escambia County, Alabama",7551,34089,22.150840447065036
AL,Etowah (County),7,5,306,2.2,1.6,96.2,Alabama,Etowah,01055,"Etowah County, Alabama",17625,101346,17.390918240483096
AL,Fayette (County),,,7,,,100,Alabama,Fayette,01057,"Fayette County, Alabama",3146,16182,19.441354591521442
AL,Franklin (County),,,13,,,100,Alabama,Franklin,01059,"Franklin County, Alabama",6007,30947,19.410605228293534
AL,Geneva (County),,,14,,,100,Alabama,Geneva,01061,"Geneva County, Alabama",5743,26092,22.010577954928713
AL,Greene (County),,,5,,,100,Alabama,Greene,01063,"Greene County, Alabama",3140,8242,38.0975491385586
AL,Hale (County),44,120,147,14.1,38.6,47.3,Alabama,Hale,01065,"Hale County, Alabama",3522,14565,24.181256436663233
AL,Henry (County),,,5,,,100,Alabama,Henry,01067,"Henry County, Alabama",2316,16752,13.825214899713467
AL,Houston (County),,,198,,,100,Alabama,Houston,01069,"Houston County, Alabama",18885,103568,18.2343967248571
AL,Jackson (County),,,17,,,100,Alabama,Jackson,01071,"Jackson County, Alabama",9536,51312,18.584346741502962
AL,Jefferson (County),12,9,928,1.3,0.9,97.8,Alabama,Jefferson,01073,"Jefferson County, Alabama",103417,645406,16.023557264729487
AL,Lamar (County),,,10,,,100,Alabama,Lamar,01075,"Lamar County, Alabama",2827,13692,20.647093193105462
AL,Lauderdale (County),,,100,,,100,Alabama,Lauderdale,01077,"Lauderdale County, Alabama",13175,90346,14.582826024395104
AL,Lawrence (County),,,13,,,100,Alabama,Lawrence,01079,"Lawrence County, Alabama",5906,32753,18.031936005862057
AL,Lee (County),79,44,695,9.7,5.4,85,Alabama,Lee,01081,"Lee County, Alabama",30423,155265,19.59424210221235
AL,Limestone (County),,,52,,,100,Alabama,Limestone,01083,"Limestone County, Alabama",12436,91626,13.572566738698622
AL,Lowndes (County),,,4,,,100,Alabama,Lowndes,01085,"Lowndes County, Alabama",2664,9936,26.811594202898554
AL,Macon (County),,,10,,,100,Alabama,Macon,01087,"Macon County, Alabama",3995,16359,24.420808117855614
AL,Madison (County),,,252,,,100,Alabama,Madison,01089,"Madison County, Alabama",44038,352884,12.47945500504415
AL,Marengo (County),241,215,397,28.3,25.2,46.5,Alabama,Marengo,01091,"Marengo County, Alabama",4174,19056,21.903862300587743
AL,Marion (County),,,29,,,100,Alabama,Marion,01093,"Marion County, Alabama",5137,29386,17.481113455386918
AL,Marshall (County),,,61,,,100,Alabama,Marshall,01095,"Marshall County, Alabama",19147,94283,20.308008866921927
AL,Mobile (County),14690,2858,38513,26.2,5.1,68.7,Alabama,Mobile,01097,"Mobile County, Alabama",76275,406137,18.78060851387586
AL,Monroe (County),,,13,,,100,Alabama,Monroe,01099,"Monroe County, Alabama",5869,21004,27.942296705389452
AL,Montgomery (County),,,436,,,100,Alabama,Montgomery,01101,"Montgomery County, Alabama",42442,219309,19.352602948351414
AL,Morgan (County),,,86,,,100,Alabama,Morgan,01103,"Morgan County, Alabama",17126,117005,14.636981325584378
AL,Perry (County),164,153,350,24.6,22.9,52.5,Alabama,Perry,01105,"Perry County, Alabama",2612,8468,30.845536136041567
AL,Pickens (County),,,8,,,100,Alabama,Pickens,01107,"Pickens County, Alabama",4204,18506,22.71695666270399
AL,Pike (County),,,29,,,100,Alabama,Pike,01109,"Pike County, Alabama",7701,31521,24.431331493290187
AL,Randolph (County),5,3,51,8.5,5.1,86.4,Alabama,Randolph,01111,"Randolph County, Alabama",3748,22139,16.92940060526672
AL,Russell (County),,,26,,,100,Alabama,Russell,01113,"Russell County, Alabama",11775,56885,20.69965720312912
AL,Shelby (County),4,3,155,2.5,1.9,95.7,Alabama,Shelby,01117,"Shelby County, Alabama",15742,210328,7.484500399376212
AL,St. Clair (County),,,22,,,100,Alabama,St. Clair,01115,"St. Clair County, Alabama",10484,85875,12.20844250363901
AL,Sumter (County),,,8,,,100,Alabama,Sumter,01119,"Sumter County, Alabama",3782,11907,31.76282858822541
AL,Talladega (County),,,47,,,100,Alabama,Talladega,01121,"Talladega County, Alabama",14653,76886,19.05808599745077
AL,Tallapoosa (County),,,49,,,100,Alabama,Tallapoosa,01123,"Tallapoosa County, Alabama",7546,39978,18.87538145980289
AL,Tuscaloosa (County),,,282,,,100,Alabama,Tuscaloosa,01125,"Tuscaloosa County, Alabama",34749,196790,17.657909446618223
AL,Walker (County),,,54,,,100,Alabama,Walker,01127,"Walker County, Alabama",11440,63036,18.148359667491594
AL,Washington (County),341,279,636,27.1,22.2,50.6,Alabama,Washington,01129,"Washington County, Alabama",3451,16342,21.117366295435076
AL,Wilcox (County),408,273,465,35.6,23.8,40.6,Alabama,Wilcox,01131,"Wilcox County, Alabama",3111,10352,30.052163833075735
AL,Winston (County),,,6,,,100,Alabama,Winston,01133,"Winston County, Alabama",4127,23406,17.63223105186704
AR,Arkansas (County),4,2,18,16.7,8.3,75,Arkansas,Arkansas,05001,"Arkansas County, Arkansas",3041,17532,17.345425507643167
AR,Ashley (County),,,12,,,100,Arkansas,Ashley,05003,"Ashley County, Arkansas",3347,20092,16.658371491140752
AR,Baxter (County),,,45,,,100,Arkansas,Baxter,05005,"Baxter County, Arkansas",5360,40888,13.108980630013695
AR,Benton (County),47,21,461,8.9,4,87.1,Arkansas,Benton,05007,"Benton County, Arkansas",24767,262378,9.439434708702711
AR,Boone (County),9,8,91,8.3,7.4,84.3,Arkansas,Boone,05009,"Boone County, Arkansas",5369,36630,14.657384657384656
AR,Bradley (County),,,7,,,100,Arkansas,Bradley,05011,"Bradley County, Arkansas",2211,10780,20.51020408163265
AR,Calhoun (County),,,13,,,100,Arkansas,Calhoun,05013,"Calhoun County, Arkansas",680,5056,13.449367088607595
AR,Carroll (County),9,3,44,16.1,5.4,78.6,Arkansas,Carroll,05015,"Carroll County, Arkansas",4096,27677,14.799291830762003
AR,Chicot (County),,,11,,,100,Arkansas,Chicot,05017,"Chicot County, Arkansas",2872,9944,28.881737731295253
AR,Clark (County),,,12,,,100,Arkansas,Clark,05019,"Clark County, Arkansas",4017,19798,20.289928275583392
AR,Clay (County),14,6,51,19.7,8.5,71.8,Arkansas,Clay,05021,"Clay County, Arkansas",3106,14703,21.124940488335714
AR,Cleburne (County),,,5,,,100,Arkansas,Cleburne,05023,"Cleburne County, Arkansas",3452,24727,13.960448093177499
AR,Cleveland (County),,,1,,,100,Arkansas,Cleveland,05025,"Cleveland County, Arkansas",1475,8019,18.393814690110986
AR,Columbia (County),,,16,,,100,Arkansas,Columbia,05027,"Columbia County, Arkansas",5482,21933,24.994300825240508
AR,Conway (County),8,2,17,29.6,7.4,63,Arkansas,Conway,05029,"Conway County, Arkansas",3649,20738,17.595718005593596
AR,Craighead (County),,,184,,,100,Arkansas,Craighead,05031,"Craighead County, Arkansas",17130,103022,16.62751645279649
AR,Crawford (County),41,8,156,20,3.9,76.1,Arkansas,Crawford,05033,"Crawford County, Arkansas",10609,61833,17.15750489220966
AR,Crittenden (County),,,23,,,100,Arkansas,Crittenden,05035,"Crittenden County, Arkansas",10655,47952,22.220136803470137
AR,Cross (County),,,13,,,100,Arkansas,Cross,05037,"Cross County, Arkansas",2555,16538,15.449268351674931
AR,Dallas (County),,,5,,,100,Arkansas,Dallas,05039,"Dallas County, Arkansas",955,6516,14.65623081645181
