state,county,total_Eligible,total_Other,"total_Ineligible, Ownership Not Verified",percent_Eligible,percent_Other,"percent_Ineligible, Ownership Not Verified",state_name,county_name,GEOID,NAME,poverty_estimate,poverty_population,pctpov
AK,Alaska Gateway Regional Educational Attendance Area,5,7,,41.7,58.3,,Alaska,Ketchikan Gateway Borough,02130,"Ketchikan Gateway Borough, Alaska",1433,13585,10.548398969451602
AK,Anchorage (Borough),1060,6463,110,13.9,84.7,1.4,Alaska,Anchorage Municipality,02020,"Anchorage Municipality, Alaska",26498,288946,9.17057166390952
AK,Bethel (Census Area),,2,,,100,,Alaska,Bethel Census Area,02050,"Bethel Census Area, Alaska",4871,17542,27.76764337019724
AK,Fairbanks North Star (Borough),,8,,,100,,Alaska,Fairbanks North Star Borough,02090,"Fairbanks North Star Borough, Alaska",7749,95430,8.120088022634391
AK,Juneau (Borough),,1,,,100,,Alaska,Juneau City and Borough,02110,"Juneau City and Borough, Alaska",2514,31799,7.9059089908487685
AK,Kenai Peninsula (Borough),34,156,4,17.5,80.4,2.1,Alaska,Kenai Peninsula Borough,02122,"Kenai Peninsula Borough, Alaska",6827,56934,11.991077387852602
AK,Ketchikan Gateway (Borough),,1,,,100,,Alaska,Ketchikan Gateway Borough,02130,"Ketchikan Gateway Borough, Alaska",1433,13585,10.548398969451602
AK,Kodiak Island (Borough),,2,,,100,,Alaska,Kodiak Island Borough,02150,"Kodiak Island Borough, Alaska",1243,13373,9.294847827712555
AK,Kusilvak Census Area,,1,,,100,,Alaska,Kusilvak Census Area,02158,"Kusilvak Census Area, Alaska",3296,8148,40.451644575355914
AK,Lower Yukon Regional Educational Attendance Area,21,69,1,23.1,75.8,1.1,Alaska,Yukon-Koyukuk Census Area,02290,"Yukon-Koyukuk Census Area, Alaska",1350,5368,25.149031296572282
AK,Matanuska-Susitna (Borough),450,2157,57,16.9,81,2.1,Alaska,Matanuska-Susitna Borough,02170,"Matanuska-Susitna Borough, Alaska",10476,101349,10.33655980818755
AK,Skagway (Municipality),,1,,,100,,Alaska,Skagway Municipality,02230,"Skagway Municipality, Alaska",56,1054,5.313092979127135
