year,state,county,total_Eligible,"total_Ineligible, Ownership Not Verified",total_Other,percent_Eligible,"percent_Ineligible, Ownership Not Verified",percent_Other,state_name,county_name,GEOID,NAME,poverty_estimate,poverty_population,pctpov
2010,AL,DeKalb (County),39,15,174,17.1,6.6,76.3,Alabama,DeKalb,01049,"DeKalb County, Alabama",14833,70355,21.083078672446874
2010,AL,Marshall (County),103,19,477,17.2,3.2,79.6,Alabama,Marshall,01095,"Marshall County, Alabama",19147,94283,20.308008866921927
2010,AL,Walker (County),21,8,73,20.6,7.8,71.6,Alabama,Walker,01127,"Walker County, Alabama",11440,63036,18.148359667491594
2010,CT,"Fairfield (County)(in PMSA 1160,1930,5760,8040)",138,3,752,15.5,0.3,84.2,Connecticut,Fairfield,09001,"Fairfield County, Connecticut",82327,926424,8.88653575468684
2010,CT,"Middlesex (County)(in (P)MSA 3280,5020,5480)",20,1,229,8,0.4,91.6,Connecticut,Middlesex,09007,"Middlesex County, Connecticut",10944,157700,6.9397590361445785
2010,CT,"New Haven (County)(in (P)MSA 1160,5480,8880)",27,,258,9.5,,90.5,Connecticut,New Haven,09009,"New Haven County, Connecticut",97553,831151,11.737097109911437
2010,CT,"New London (County)(in (P)MSA 3280,5520)",286,6,2158,11.7,0.2,88.1,Connecticut,New London,09011,"New London County, Connecticut",24040,255691,9.401973475796959
2010,CT,Windham (County),14,1,208,6.3,0.4,93.3,Connecticut,Windham,09015,"Windham County, Connecticut",12678,111204,11.40066904068199
2010,IA,Appanoose (County),66,3,273,19.3,0.9,79.8,Iowa,Appanoose,19007,"Appanoose County, Iowa",2170,12294,17.650886611355133
2010,IA,Black Hawk (County),82,2,552,12.9,0.3,86.8,Iowa,Black Hawk,19013,"Black Hawk County, Iowa",20129,127289,15.813620972747056
2010,IA,Boone (County),20,,100,16.7,,83.3,Iowa,Boone,19015,"Boone County, Iowa",1973,25917,7.6127638229733385
2010,IA,Calhoun (County),9,2,97,8.3,1.9,89.8,Iowa,Calhoun,19025,"Calhoun County, Iowa",1133,9016,12.566548358473826
2010,IA,Cherokee (County),47,,255,15.6,,84.4,Iowa,Cherokee,19035,"Cherokee County, Iowa",1201,10822,11.097763814452042
2010,IA,Clayton (County),1,,23,4.2,,95.8,Iowa,Clayton,19043,"Clayton County, Iowa",1993,17292,11.525560953041868
2010,IA,Decatur (County),7,2,44,13.2,3.8,83,Iowa,Decatur,19053,"Decatur County, Iowa",1331,7224,18.42469545957918
2010,IA,Delaware (County),105,,239,30.5,,69.5,Iowa,Delaware,19055,"Delaware County, Iowa",1559,16983,9.179768003297415
2010,IA,Dubuque (County),39,2,248,13.5,0.7,85.8,Iowa,Dubuque,19061,"Dubuque County, Iowa",10646,93255,11.416009865422765
2010,IA,Fayette (County),39,2,212,15.4,0.8,83.8,Iowa,Fayette,19065,"Fayette County, Iowa",2173,19132,11.357934350825841
2010,IA,Franklin (County),23,,95,19.5,,80.5,Iowa,Franklin,19069,"Franklin County, Iowa",1362,9980,13.647294589178358
2010,IA,Hamilton (County),26,3,252,9.3,1.1,89.7,Iowa,Hamilton,19079,"Hamilton County, Iowa",1452,14802,9.809485204702067
2010,IA,Howard (County),,,3,,,100,Iowa,Howard,19089,"Howard County, Iowa",810,8994,9.006004002668446
2010,IA,Humboldt (County),15,1,97,13.3,0.9,85.8,Iowa,Humboldt,19091,"Humboldt County, Iowa",1225,9419,13.005626924301945
2010,IA,Ida (County),2,,21,8.7,,91.3,Iowa,Ida,19093,"Ida County, Iowa",648,6741,9.612817089452603
2010,IA,Jackson (County),9,,14,39.1,,60.9,Iowa,Jackson,19097,"Jackson County, Iowa",2500,19092,13.094489838675885
