state,county,total_eligible,total_ineligible_ownership_not_verified,total_other,percent_eligible,percent_ineligible_ownership_not_verified,percent_other,state_name,county_name,geoid,name,poverty_estimate,poverty_population,pctpov,plurality,majority,white,black,asian,american_indian,hispanic,urban_rural_code,urban_rural_cat
AK,Anchorage (Borough),1060,110,6463,13.9,1.4,84.7,Alaska,Anchorage Municipality,02020,"Anchorage Municipality, Alaska",25861,286504,9.026401027559825,White,White,57.9,5.28,9.43,2.41,9.17,3,suburban
AK,Bethel (Census Area),,,2,,,100,Alaska,Bethel Census Area,02050,"Bethel Census Area, Alaska",4980,17622,28.26012938372489,White,Non-White,9.73,0.74,1.08,0.22,2.6,6,rural
AK,Fairbanks North Star (Borough),,,8,,,100,Alaska,Fairbanks North Star Borough,02090,"Fairbanks North Star Borough, Alaska",7575,94778,7.992361096456984,White,White,69.93,4.28,3.09,0.51,8.05,4,suburban
AK,Juneau (Borough),,,1,,,100,Alaska,Juneau City and Borough,02110,"Juneau City and Borough, Alaska",2440,31783,7.677060063555989,White,White,64.68,0.98,6.45,0.99,6.78,5,rural
AK,Kenai Peninsula (Borough),34,4,156,17.5,2.1,80.4,Alaska,Kenai Peninsula Borough,02122,"Kenai Peninsula Borough, Alaska",6913,57233,12.078695857285132,White,White,79.92,0.54,1.57,0.33,4.15,6,rural
AK,Ketchikan Gateway (Borough),,,1,,,100,Alaska,Ketchikan Gateway Borough,02130,"Ketchikan Gateway Borough, Alaska",1304,13617,9.576264962914005,White,White,63.96,0.75,7.98,0.2,5.27,5,rural
AK,Kodiak Island (Borough),,,2,,,100,Alaska,Kodiak Island Borough,02150,"Kodiak Island Borough, Alaska",1029,13195,7.79840848806366,White,Non-White,49.03,0.21,22.69,0.33,8.91,6,rural
AK,Kusilvak Census Area,,,1,,,100,Alaska,Kusilvak Census Area,02158,"Kusilvak Census Area, Alaska",3195,8190,39.010989010989015,White,Non-White,3.58,0.1,0.13,0.06,1.13,6,rural
AK,Matanuska-Susitna (Borough),450,57,2157,16.9,2.1,81,Alaska,Matanuska-Susitna Borough,02170,"Matanuska-Susitna Borough, Alaska",10624,103218,10.292778391365848,White,White,79.22,1.15,1.37,0.22,4.93,3,suburban
AK,Skagway (Municipality),,,1,,,100,Alaska,Skagway Municipality,02230,"Skagway Municipality, Alaska",70,1098,6.375227686703097,White,White,82.11,3.34,0.81,0,5.69,6,rural
AL,Autauga (County),,,35,,,100,Alabama,Autauga,01001,"Autauga County, Alabama",8340,54922,15.1851716980445,White,White,74.6,19,1.03,0.01,2.83,3,suburban
AL,Baldwin (County),3673,1529,23576,12.8,5.3,81.9,Alabama,Baldwin,01003,"Baldwin County, Alabama",21704,209618,10.354072646433035,White,White,83.07,9.17,0.92,0,4.56,4,suburban
AL,Barbour (County),,,19,,,100,Alabama,Barbour,01005,"Barbour County, Alabama",6875,22417,30.66868894142838,Black,Non-White,45.81,47.44,0.48,0,4.36,6,rural
AL,Bibb (County),23,25,81,17.8,19.4,62.8,Alabama,Bibb,01007,"Bibb County, Alabama",3740,20632,18.127181077937184,White,White,74.53,22.14,0.12,0,2.57,2,urban
AL,Blount (County),,,8,,,100,Alabama,Blount,01009,"Blount County, Alabama",7739,57108,13.551516425019262,White,White,86.89,1.53,0.37,0.04,9.26,2,urban
AL,Bullock (County),,,4,,,100,Alabama,Bullock,01011,"Bullock County, Alabama",2825,9784,28.873671300081767,Black,Non-White,21.38,74.8,0.49,0,2.56,6,rural
AL,Butler (County),,,15,,,100,Alabama,Butler,01013,"Butler County, Alabama",4397,19540,22.502558853633573,White,White,51.6,45.03,0.35,0,1.4,6,rural
AL,Calhoun (County),191,29,735,20,3,77,Alabama,Calhoun,01015,"Calhoun County, Alabama",19969,111542,17.90267343242904,White,White,72.07,20.66,0.88,0.01,3.8,4,suburban
AL,Chambers (County),,,10,,,100,Alabama,Chambers,01017,"Chambers County, Alabama",5711,33103,17.252212790381535,White,White,55.55,39.56,1.12,0,2.38,5,rural
AL,Cherokee (County),,,9,,,100,Alabama,Cherokee,01019,"Cherokee County, Alabama",3560,25571,13.922021039458762,White,White,91.72,4.6,0.25,0,1.59,6,rural
AL,Chilton (County),,,14,,,100,Alabama,Chilton,01021,"Chilton County, Alabama",8302,43430,19.115818558600044,White,White,80.13,9.17,0.44,0,7.85,2,urban
AL,Choctaw (County),,,6,,,100,Alabama,Choctaw,01023,"Choctaw County, Alabama",2968,12712,23.348017621145374,White,White,56.38,42.55,0.13,0,0.41,6,rural
AL,Clarke (County),619,417,1151,28.3,19.1,52.6,Alabama,Clarke,01025,"Clarke County, Alabama",5484,23628,23.209751142712037,White,White,52.72,45.77,0.43,0,0.33,6,rural
AL,Clay (County),,,17,,,100,Alabama,Clay,01027,"Clay County, Alabama",2342,13049,17.947735458655835,White,White,80.36,15.51,0.16,0,3.14,6,rural
AL,Cleburne (County),,,4,,,100,Alabama,Cleburne,01029,"Cleburne County, Alabama",2531,14644,17.283529090412454,White,White,92.69,2.75,0.02,0,2.46,6,rural
AL,Coffee (County),,,34,,,100,Alabama,Coffee,01031,"Coffee County, Alabama",7670,50898,15.069354395064638,White,White,70.15,16.8,1.44,0,7.28,5,rural
AL,Colbert (County),,,75,,,100,Alabama,Colbert,01033,"Colbert County, Alabama",8390,54248,15.466007963427222,White,White,78.2,16.08,0.47,0.09,2.84,4,suburban
AL,Conecuh (County),,,9,,,100,Alabama,Conecuh,01035,"Conecuh County, Alabama",2161,12283,17.59342180249125,White,White,50.05,47.76,0.45,0,0.68,6,rural
AL,Coosa (County),,,8,,,100,Alabama,Coosa,01037,"Coosa County, Alabama",1399,10353,13.512991403457935,White,White,64.8,33.61,0,0,1.01,5,rural
AL,Covington (County),,,34,,,100,Alabama,Covington,01039,"Covington County, Alabama",6756,36348,18.586992406734897,White,White,83.29,13.39,0.38,0.09,1.69,6,rural
AL,Crenshaw (County),,,10,,,100,Alabama,Crenshaw,01041,"Crenshaw County, Alabama",2065,13623,15.158188357924098,White,White,70.98,23.13,1.26,0.07,0.79,6,rural
AL,Cullman (County),26,28,590,4,4.3,91.6,Alabama,Cullman,01043,"Cullman County, Alabama",12133,81597,14.869419218843829,White,White,91.88,1.25,0.38,0,4.36,5,rural
AL,Dale (County),,,18,,,100,Alabama,Dale,01045,"Dale County, Alabama",8424,47739,17.645949852322,White,White,68.57,19.78,1.22,0.01,6.51,5,rural
AL,Dallas (County),461,319,1419,21,14.5,64.5,Alabama,Dallas,01047,"Dallas County, Alabama",11204,38546,29.066569812691327,Black,Non-White,27.32,70.43,0.57,0.01,1.07,5,rural
AL,DeKalb (County),,,26,,,100,Alabama,DeKalb,01049,"DeKalb County, Alabama",14833,70355,21.083078672446874,White,White,80.44,1.43,0.12,0.21,14.55,6,rural
AL,Elmore (County),,,18,,,100,Alabama,Elmore,01051,"Elmore County, Alabama",8820,76637,11.508801231780993,White,White,73.16,21.23,0.54,0,2.96,3,suburban
AL,Escambia (County),667,291,1780,24.4,10.6,65,Alabama,Escambia,01053,"Escambia County, Alabama",7551,34089,22.150840447065036,White,White,60.23,31.98,0.28,0.15,2.33,6,rural
AL,Etowah (County),7,5,306,2.2,1.6,96.2,Alabama,Etowah,01055,"Etowah County, Alabama",17625,101346,17.390918240483096,White,White,77.86,15.44,0.74,0.02,3.88,4,suburban
AL,Fayette (County),,,7,,,100,Alabama,Fayette,01057,"Fayette County, Alabama",3146,16182,19.441354591521442,White,White,84.5,11.17,0.47,0.04,1.8,6,rural
AL,Franklin (County),,,13,,,100,Alabama,Franklin,01059,"Franklin County, Alabama",6007,30947,19.410605228293534,White,White,76.85,4.29,0.37,0,17.16,6,rural
AL,Geneva (County),,,14,,,100,Alabama,Geneva,01061,"Geneva County, Alabama",5743,26092,22.010577954928713,White,White,83.85,9.41,0.44,0.05,3.98,4,suburban
AL,Greene (County),,,5,,,100,Alabama,Greene,01063,"Greene County, Alabama",3140,8242,38.0975491385586,Black,Non-White,17.24,79.46,0,0,1.74,6,rural
AL,Hale (County),44,120,147,14.1,38.6,47.3,Alabama,Hale,01065,"Hale County, Alabama",3522,14565,24.181256436663233,Black,Non-White,39.53,59.37,0.22,0,0.03,4,suburban
AL,Henry (County),,,5,,,100,Alabama,Henry,01067,"Henry County, Alabama",2316,16752,13.825214899713467,White,White,69.17,26.55,0.4,0.1,2.62,4,suburban
AL,Houston (County),,,198,,,100,Alabama,Houston,01069,"Houston County, Alabama",18885,103568,18.2343967248571,White,White,66.46,26.76,0.87,0.04,3.32,4,suburban
AL,Jackson (County),,,17,,,100,Alabama,Jackson,01071,"Jackson County, Alabama",9536,51312,18.584346741502962,White,White,89.25,3.42,0.45,0.11,2.93,5,rural
AL,Jefferson (County),12,9,928,1.3,0.9,97.8,Alabama,Jefferson,01073,"Jefferson County, Alabama",103417,645406,16.023557264729487,White,Non-White,49.89,42.8,1.57,0.03,3.87,1,urban
AL,Lamar (County),,,10,,,100,Alabama,Lamar,01075,"Lamar County, Alabama",2827,13692,20.647093193105462,White,White,85.99,10.65,0.12,0,1.65,6,rural
AL,Lauderdale (County),,,100,,,100,Alabama,Lauderdale,01077,"Lauderdale County, Alabama",13175,90346,14.582826024395104,White,White,84.72,10.14,0.64,0.07,2.68,4,suburban
AL,Lawrence (County),,,13,,,100,Alabama,Lawrence,01079,"Lawrence County, Alabama",5906,32753,18.031936005862057,White,White,76.49,10.58,0.2,0.08,2.19,4,suburban
AL,Lee (County),79,44,695,9.7,5.4,85,Alabama,Lee,01081,"Lee County, Alabama",30423,155265,19.59424210221235,White,White,67.44,22.73,4.11,0,3.68,4,suburban
AL,Limestone (County),,,52,,,100,Alabama,Limestone,01083,"Limestone County, Alabama",12436,91626,13.572566738698622,White,White,76.54,13.6,1.37,0.06,6.02,3,suburban
AL,Lowndes (County),,,4,,,100,Alabama,Lowndes,01085,"Lowndes County, Alabama",2664,9936,26.811594202898554,Black,Non-White,24.66,74.36,0,0,0.5,3,suburban
