state,county,total_Eligible,total_Other,"total_Ineligible, Ownership Not Verified",percent_Eligible,percent_Other,"percent_Ineligible, Ownership Not Verified"
AK,Alaska Gateway Regional Educational Attendance Area,5,7,,41.7,58.3,
AK,Anchorage (Borough),1060,6463,110,13.9,84.7,1.4
AK,Bethel (Census Area),,2,,,100,
AK,Fairbanks North Star (Borough),,8,,,100,
AK,Juneau (Borough),,1,,,100,
AK,Kenai Peninsula (Borough),34,156,4,17.5,80.4,2.1
AK,Ketchikan Gateway (Borough),,1,,,100,
AK,Kodiak Island (Borough),,2,,,100,
AK,Kusilvak Census Area,,1,,,100,
AK,Lower Yukon Regional Educational Attendance Area,21,69,1,23.1,75.8,1.1
AK,Matanuska-Susitna (Borough),450,2157,57,16.9,81,2.1
AK,Skagway (Municipality),,1,,,100,
AK,Yukon Flats Regional Educational Attendance Area,23,38,2,36.5,60.3,3.2
AK,Yukon Koyukuk Regional Educational Attendance Area,150,45,14,71.8,21.5,6.7
AL,Autauga (County),105,416,50,18.4,72.9,8.8
AL,Baldwin (County),4789,26549,1699,14.5,80.4,5.1
AL,Barbour (County),,19,,,100,
AL,Bibb (County),52,440,35,9.9,83.5,6.6
AL,Blount (County),89,1218,26,6.7,91.4,2
AL,Bullock (County),,4,,,100,
AL,Butler (County),,15,,,100,
AL,Calhoun (County),431,2108,91,16.4,80.2,3.5
AL,Chambers (County),6,129,15,4,86,10
AL,Cherokee (County),43,697,26,5.6,91,3.4
AL,Chilton (County),20,280,25,6.2,86.2,7.7
AL,Choctaw (County),57,297,42,14.4,75,10.6
AL,Clarke (County),720,1674,586,24.2,56.2,19.7
AL,Clay (County),,22,,,100,
AL,Cleburne (County),,4,,,100,
AL,Coffee (County),,34,,,100,
AL,Colbert (County),42,399,20,9.1,86.6,4.3
AL,Conecuh (County),,9,,,100,
AL,Coosa (County),7,88,3,7.1,89.8,3.1
AL,Covington (County),,34,,,100,
AL,Crenshaw (County),,10,,,100,
AL,Cullman (County),358,5986,100,5.6,92.9,1.6
AL,Dale (County),,18,,,100,
AL,Dallas (County),461,1419,319,21,64.5,14.5
AL,DeKalb (County),360,2708,107,11.3,85.3,3.4
AL,Elmore (County),85,501,28,13.8,81.6,4.6
AL,Escambia (County),688,1926,308,23.5,65.9,10.5
AL,Etowah (County),80,1013,38,7.1,89.6,3.4
AL,Fayette (County),35,266,5,11.4,86.9,1.6
AL,Franklin (County),184,757,30,18.9,78,3.1
AL,Geneva (County),,14,,,100,
AL,Greene (County),75,540,58,11.1,80.2,8.6
AL,Hale (County),211,695,234,18.5,61,20.5
AL,Henry (County),,5,,,100,
AL,Houston (County),,198,,,100,
AL,Jackson (County),187,2202,62,7.6,89.8,2.5
AL,Jefferson (County),1663,16080,292,9.2,89.2,1.6
AL,Lamar (County),2,66,4,2.8,91.7,5.6
AL,Lauderdale (County),16,455,5,3.4,95.6,1.1
AL,Lawrence (County),208,1911,72,9.5,87.2,3.3
AL,Lee (County),106,825,48,10.8,84.3,4.9
AL,Limestone (County),373,3332,52,9.9,88.7,1.4
AL,Lowndes (County),,4,,,100,
AL,Macon (County),,10,,,100,
AL,Madison (County),308,17293,83,1.7,97.8,0.5
AL,Marengo (County),293,785,305,21.2,56.8,22.1
AL,Marion (County),175,798,26,17.5,79.9,2.6
AL,Marshall (County),369,4966,121,6.8,91,2.2
AL,Mobile (County),16345,47639,3371,24.3,70.7,5
AL,Monroe (County),18,208,32,7,80.6,12.4
AL,Montgomery (County),,436,,,100,
AL,Morgan (County),27,2424,16,1.1,98.3,0.6
AL,Perry (County),250,842,246,18.7,62.9,18.4
AL,Pickens (County),36,369,40,8.1,82.9,9
AL,Pike (County),,29,,,100,
AL,Randolph (County),6,60,5,8.5,84.5,7
AL,Russell (County),,26,,,100,
AL,Shelby (County),21,508,13,3.9,93.7,2.4
AL,St. Clair (County),219,1704,41,11.2,86.8,2.1
AL,Sumter (County),40,353,71,8.6,76.1,15.3
AL,Talladega (County),65,358,41,14,77.2,8.8
AL,Tallapoosa (County),23,384,8,5.5,92.5,1.9
AL,Tuscaloosa (County),2229,11249,154,16.4,82.5,1.1
AL,Walker (County),257,2119,120,10.3,84.9,4.8
AL,Washington (County),358,778,312,24.7,53.7,21.5
AL,Wilcox (County),408,465,273,35.6,40.6,23.8
AL,Winston (County),17,350,5,4.6,94.1,1.3
AR,Arkansas (County),14,61,7,17.1,74.4,8.5
AR,Ashley (County),,12,,,100,
AR,Baxter (County),,45,,,100,
AR,Benton (County),84,669,24,10.8,86.1,3.1
AR,Boone (County),21,150,8,11.7,83.8,4.5
AR,Bradley (County),,7,,,100,
AR,Calhoun (County),,13,,,100,
AR,Carroll (County),22,74,3,22.2,74.7,3
AR,Chicot (County),3,26,1,10,86.7,3.3
AR,Clark (County),2,15,1,11.1,83.3,5.6
AR,Clay (County),53,108,10,31,63.2,5.8
