incidentType,declarationDate,disasterNumber,county,state,city,zip,applicantAge,householdComposition,occupantsUnderTwo,occupants2to5,occupants6to18,occupants19to64,occupants65andOver,grossIncome,ownRent,primaryResidence,residenceType,homeOwnersInsurance,floodInsurance,registrationMethod,ihpReferral,ihpEligible,ihpAmount,fipAmount,haReferral,haEligible,haAmount,haStatus,onaReferral,onaEligible,onaAmount,utilitiesOut,homeDamage,autoDamage,emergencyNeeds,foodNeed,shelterNeed,accessFunctionalNeeds,sbaEligible,sbaApproved,inspnIssued,inspnReturned,habitabilityRepairsRequired,rpfvl,ppfvl,renterDamageLevel,destroyed,waterLevel,highWaterLocation,floodDamage,floodDamageAmount,foundationDamage,foundationDamageAmount,roofDamage,roofDamageAmount,tsaEligible,tsaCheckedIn,rentalAssistanceEligible,rentalAssistanceAmount,repairAssistanceEligible,repairAmount,replacementAssistanceEligible,replacementAmount,personalPropertyEligible,personalPropertyAmount,ihpMax,haMax,onaMax,lastRefresh,id,home_status
Biological,2020-03-30T00:35:00.000Z,4503,Hale (County),AL,GREENSBORO,36744,50-64,2,0,0,0,1,0,"<$15,000",Renter,FALSE,House/Duplex,FALSE,FALSE,Call Center,TRUE,FALSE,0,0,FALSE,FALSE,0,,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,,FALSE,0,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,2021-05-15T13:28:13.000Z,609fc4293f1f4108d73e9e41,Other
Biological,2020-03-30T00:35:00.000Z,4503,Hale (County),AL,MOUNDVILLE,35474,65+,2,0,0,0,0,1,">$175,000",Renter,FALSE,House/Duplex,FALSE,FALSE,Call Center,TRUE,FALSE,0,0,FALSE,FALSE,0,,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,,FALSE,0,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,2021-05-15T13:28:13.000Z,609fc4293f1f4108d73ea05d,Other
Biological,2020-03-30T00:35:00.000Z,4503,Hale (County),AL,GREENSBORO,36744,65+,3,0,0,0,1,1,"<$15,000",Renter,FALSE,House/Duplex,FALSE,FALSE,Call Center,TRUE,FALSE,0,0,FALSE,FALSE,0,,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,,FALSE,0,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,2021-05-15T13:28:13.000Z,609fc4293f1f4108d73ea1ca,Other
Biological,2020-03-30T00:35:00.000Z,4503,Hale (County),AL,SAWYERVILLE,36776,65+,2,0,0,0,0,1,"<$15,000",Renter,FALSE,House/Duplex,FALSE,FALSE,Call Center,TRUE,FALSE,0,0,FALSE,FALSE,0,,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE,,0,0,,FALSE,0,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,2021-05-15T13:28:13.000Z,609fc4293f1f4108d73ea1f3,Other
Biological,2020-03-30T00:35:00.000Z,4503,Hale (County),AL,GREENSBORO,36744,50-64,2,0,0,0,1,0,0,Renter,FALSE,House/Duplex,FALSE,FALSE,Call Center,TRUE,FALSE,0,0,FALSE,FALSE,0,,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,,FALSE,0,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,2021-05-15T13:28:13.000Z,609fc4293f1f4108d73ea393,Other
Biological,2020-03-30T00:35:00.000Z,4503,Hale (County),AL,GREENSBORO,36744,50-64,2,0,0,0,1,0,0,Renter,TRUE,House/Duplex,FALSE,FALSE,Call Center,TRUE,FALSE,0,0,FALSE,FALSE,0,,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,,FALSE,0,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,2021-05-15T13:28:13.000Z,609fc42a3f1f4108d73ea8b4,Other
Biological,2020-03-30T00:35:00.000Z,4503,Hale (County),AL,GREENSBORO,36744,50-64,2,0,0,0,1,0,"$15,000-$30,000",Renter,FALSE,House/Duplex,FALSE,FALSE,Call Center,TRUE,FALSE,0,0,FALSE,FALSE,0,,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,,FALSE,0,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,2021-05-15T13:28:13.000Z,609fc42a3f1f4108d73ea482,Other
Biological,2020-03-30T00:35:00.000Z,4503,Hale (County),AL,MOUNDVILLE,35474,65+,2,0,0,0,0,1,"<$15,000",Renter,TRUE,House/Duplex,FALSE,FALSE,Call Center,TRUE,FALSE,0,0,FALSE,FALSE,0,,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,,FALSE,0,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,2021-05-15T13:28:13.000Z,609fc42a3f1f4108d73ea541,Other
Biological,2020-03-30T00:35:00.000Z,4503,Hale (County),AL,GREENSBORO,36744,50-64,2,0,0,0,1,0,"$60,001-$120,000",Renter,TRUE,House/Duplex,FALSE,FALSE,Call Center,TRUE,FALSE,0,0,FALSE,FALSE,0,,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,0,0,,FALSE,0,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,2021-05-15T13:28:13.000Z,609fc42a3f1f4108d73ea760,Other
Severe Storm(s),2021-04-26T16:22:00.000Z,4596,Hale (County),AL,SAWYERVILLE,36776,35-49,1,0,0,0,1,0,0,Owner,TRUE,Mobile Home,FALSE,FALSE,Call Center,TRUE,TRUE,35870,0,TRUE,TRUE,35870,ERPL - Eligible Replacement Housing,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,34480,7825.08,,TRUE,0,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,TRUE,1390,FALSE,0,TRUE,34480,FALSE,0,FALSE,FALSE,FALSE,2021-05-15T14:43:39.000Z,609fc5be3f1f4108d74dbfc1,Eligible
